subdistrictCode,panchayatCode,panchayatName
5914,253395,T.R. PATTINAM (Central)
5914,253396,T.R. PATTINAM (EAST)
5914,253391,KEEZHAMANAI
5914,290341,KOTTUCHERRY (NORTH)
5914,253383,KOTTUCHERRY (SOUTH)
5914,253393,NERAVY (NORTH)
5914,253392,NERAVY (SOUTH)
5914,253398,T.R.PATTINAM (SOUTH)
5914,253384,POOVAM
5914,253397,T.R.PATTINAM( NORTH)
5914,253385,THIRUVETTAKUDY
5914,253399,VANJOOR
5914,253386,VARICHIKUDY
5914,253394,VIZHIDIYUR
5915,253400,AMBAGARATHUR
5915,253401,KARUKKANKUDY
5915,253407,THIRUNALLAR (NORTH)
5915,253387,KURUMBAGARAM
5915,253388,MELAKASAKUDY
5915,253402,NALLAMBAL
5915,253389,NEDUNGADU
5915,253403,PETTAI
5915,253390,PONBETHY
5915,253404,SELLUR
5915,253405,SETHUR
5915,253406,SURAKKUDY
5915,253408,THIRUNALLAR (SOUTH)
5912,253335,SELIAMEDU
5912,253322,BAHOUR (EAST)
5912,253323,BAHOUR (WEST)
5912,253337,EMBALAM
5912,253338,ERIPAKKAM
5912,253328,KURUVINATHAM
5912,253329,MANAMEDU
5912,253339,KALMANDAPAM
5912,253324,KARAYAMPUTHUR
5912,253340,KARIAMANICKAM
5912,253341,KARIKALAMPAKKAM
5912,253325,KIRUMAMPAKKAM
5912,253342,KORKADU
5912,253326,KRISHNAVARAM
5912,253327,KUDIYERUPPUPALAYAM
5912,253343,MADUCARAI (EAST)
5912,253344,MADUCARAI (WEST)
5912,253330,MANAPET
5912,253345,NETTAPAKKAM
5912,253331,PANNITHITTU
5912,253332,PARIKALPATTU
5912,253333,PILLAYARKUPPAM
5912,253346,SEMBIAMPALAYAM
5912,253347,SOORAMANGALAM
5912,253336,SORIANKUPPAM
5909,253311,ABISHEGAPAKKAM
5909,253312,ANDIYARPALAYAM
5909,253313,ARIANKUPPAM
5909,253314,ARIANKUPPAM (WEST)
5909,290260,Dr. Radhakrishnan Nagar
5909,290270,Nonankuppam
5909,290269,ODAIVELY
5909,253315,KAKKAYANTHOPE
5909,253316,MANAVELY
5909,290266,MANAVELY (North)
5909,253369,MANAVELY(SOUTH)
5909,253317,NALLAVADU
5909,253318,POORNANKUPPAM
5909,253319,THAVALAKUPPAM
5909,253320,THIMMANAICKANPALAYAM
5909,253321,VEERAMPATTINAM
5911,253364,ARIYUR (North)
5911,290268,ARIYUR (South)
5911,253348,CHETTIPET
5911,253366,KOODAPAKKAM
5911,253349,KALITHEERTHALKUPPAM (EAST)
5911,290261,Kalitheerthalkuppam (West)
5911,253365,KANUVAPET
5911,253375,SEDURAPET
5911,253350,KATTERIKUPPAM
5911,253374,SATHAMANGALAM
5911,253351,KODATHUR
5911,253367,KOTTAIMEDU
5911,253352,KOONICHAMPET
5911,253368,KURUMBAPET
5911,253353,MADAGADIPET
5911,290262,T.Palayam - M.Palayam
5911,253370,MANGALAM
5911,253354,MANNADIPET
5911,290267,ODIAMPET (East)
5911,253371,ODIAMPET (West)
5911,253373,PORAYUR AGARAM
5911,253380,URUVAYAR
5911,253372,PILLAYARKUPPAM
5911,253326,KRISHNAVARAM
5911,253355,SANDHAIPUDUKUPPAM
5911,253356,SANYASIKUPPAM
5911,253357,SELLIPET
5911,253376,SIVARANDAGAM
5911,253358,SORAPET
5911,253377,SULTHANPET
5911,290265,SULTHANPET (SOUTH)
5911,253359,SUTHUKENI
5911,253360,THIRUBUVANAI
5911,253378,THIRUKANJI
5911,253361,THIRUKANUR
5911,253362,THIRUVANDARKOIL
5911,253379,THONDAMANATHAM
5911,253363,VADHANUR
5911,253381,VILLIANUR
5911,290264,VILLIANUR (East)
5911,290263,VILLIANUR (WEST)